emp_no,first_name,last_name,title,salary,from_date
10001,Georgi,Facello,Senior Engineer,60117,6/26/1986
10100,Hironobu,Haraldson,Senior Staff,54398,9/21/1987
10100,Hironobu,Haraldson,Staff,54398,9/21/1987
10103,Akemi,Birch,Engineer,68158,1/12/1998
10126,Kayoko,Valtorta,Senior Staff,40000,9/8/1985
10126,Kayoko,Valtorta,Staff,40000,9/8/1985
10129,Armond,Peir,Technique Leader,40000,1/16/1996
10130,Nishit,Casperson,Senior Engineer,40000,6/21/1988
10134,Diederik,Siprelle,Engineer,40000,12/2/1993
10134,Diederik,Siprelle,Senior Engineer,40000,12/2/1993
10138,Perry,Shimshoni,Engineer,53574,3/3/1992
10138,Perry,Shimshoni,Senior Engineer,53574,3/3/1992
10150,Zhenbing,Perng,Engineer,70122,11/16/1986
10150,Zhenbing,Perng,Senior Engineer,70122,11/16/1986
10153,Heekeun,Majewski,Assistant Engineer,54246,1/8/2000
10157,Nigel,Aloisi,Senior Engineer,48770,12/10/1997
10198,Pranav,Furedi,Engineer,44076,8/31/1985
10198,Pranav,Furedi,Senior Engineer,44076,8/31/1985
10215,Xiaobin,Duclos,Senior Staff,43944,11/23/1991
10224,Leon,Trogemann,Engineer,40000,1/9/1988
10224,Leon,Trogemann,Senior Engineer,40000,1/9/1988
10233,Lein,Vendrig,Senior Staff,40000,4/29/1994
10233,Lein,Vendrig,Staff,40000,4/29/1994
10258,Basil,Ishibashi,Assistant Engineer,66280,5/17/1985
10258,Basil,Ishibashi,Engineer,66280,5/17/1985
10258,Basil,Ishibashi,Senior Engineer,66280,5/17/1985
10272,Yishai,Cannane,Staff,58070,10/23/1997
10282,Hercules,Benzmuller,Assistant Engineer,40000,5/2/1996
10282,Hercules,Benzmuller,Engineer,40000,5/2/1996
10283,Kauko,Birjandi,Engineer,40000,5/25/1988
10283,Kauko,Birjandi,Senior Engineer,40000,5/25/1988
10326,Masali,Czap,Staff,40000,9/2/1998
10340,Djelloul,Laventhal,Senior Staff,68132,3/30/1988
10340,Djelloul,Laventhal,Staff,68132,3/30/1988
10347,Pradeep,Kaminger,Staff,42199,2/20/1998
10355,Satyanarayana,Cochrane,Staff,70434,1/26/1996
10356,Vasilis,Standera,Senior Staff,45376,6/26/1995
10364,Nakhoon,Dengi,Senior Engineer,51401,11/14/1985
10372,Anneli,Frijda,Technique Leader,54505,7/30/1985
10387,Parto,Wrigley,Senior Staff,61374,1/7/1994
10387,Parto,Wrigley,Staff,61374,1/7/1994
10396,Sibyl,Rahier,Senior Engineer,40393,1/11/1986
10402,Volkmar,Ebeling,Technique Leader,40000,1/2/1987
10404,Prodip,Rosti,Engineer,51647,8/28/1988
10404,Prodip,Rosti,Senior Engineer,51647,8/28/1988
10426,Arunas,Luce,Technique Leader,65757,7/6/1985
10429,Martien,Improta,Senior Engineer,40000,9/23/1988
10432,Hisao,Tiemann,Senior Staff,40000,8/13/1990
10432,Hisao,Tiemann,Staff,40000,8/13/1990
