emp_no,first_name,last_name,title,from_date,to_date
10095,Hilari,Morton,Staff,3/10/1994,1/1/9999
10291,Dipayan,Seghrouchni,Staff,3/30/1987,1/1/9999
10291,Dipayan,Seghrouchni,Senior Staff,3/30/1987,1/1/9999
10410,Takahito,Gecsei,Staff,10/16/1993,7/21/1996
10476,Kokou,Iisaka,Staff,9/20/1987,1/1/9999
10476,Kokou,Iisaka,Senior Staff,9/20/1987,1/1/9999
10480,Make,Baba,Staff,5/18/1988,6/3/1989
10663,Teunis,Noriega,Technique Leader,2/12/1999,1/1/9999
10663,Teunis,Noriega,Technique Leader,1/23/1993,2/12/1999
10762,Lech,Himler,Staff,1/21/1992,1/1/9999
10762,Lech,Himler,Senior Staff,1/21/1992,1/1/9999
10933,Juyoung,Seghrouchni,Senior Engineer,8/2/1993,1/1/9999
11015,Jeanna,Riesenhuber,Senior Staff,3/14/1998,2/22/2000
11126,Hideo,Daescu,Staff,2/25/1992,4/4/2002
11126,Hideo,Daescu,Senior Staff,2/25/1992,4/4/2002
11157,Mario,Cochrane,Engineer,3/30/1985,2/6/1991
11432,Yongmao,Zwicker,Senior Engineer,10/19/1987,9/13/1997
11432,Yongmao,Zwicker,Engineer,10/19/1987,9/13/1997
12155,Keiichiro,Glinert,Senior Engineer,9/16/1993,1/1/9999
12155,Keiichiro,Glinert,Engineer,9/16/1993,1/1/9999
10095,Hilari,Morton,Senior Staff,3/10/1994,1/1/9999
10122,Ohad,Esposito,Technique Leader,8/6/1998,1/1/9999
12643,Morrie,Schurmann,Staff,12/31/1998,1/1/9999
12408,Rasiah,Sudkamp,Senior Engineer,4/18/1995,1/1/9999
14075,Denny,Tchuente,Engineer,5/30/1991,1/1/9999
13499,Kazuhiko,Sidou,Technique Leader,9/1/1991,1/1/9999
14075,Denny,Tchuente,Assistant Engineer,5/30/1991,1/1/9999
14104,Sudhanshu,Demian,Staff,7/23/1994,1/1/9999
13957,Angus,Chelton,Senior Engineer,4/18/1986,2/2/1987
14104,Sudhanshu,Demian,Senior Staff,7/23/1994,1/1/9999
14476,Sastry,Marrevee,Engineer,9/25/1999,1/1/9999
14127,Magdalena,Cannard,Senior Engineer,4/22/1994,1/1/9999
14127,Magdalena,Cannard,Engineer,4/22/1994,1/1/9999
14158,Caolyn,Setiz,Staff,2/6/1990,1/1/9999
14158,Caolyn,Setiz,Senior Staff,2/6/1990,1/1/9999
14551,Richard,Sinitsyn,Senior Staff,6/27/1993,9/16/1993
14907,Nakhoon,Luga,Staff,12/18/1986,1/1/9999
14907,Nakhoon,Luga,Senior Staff,12/18/1986,1/1/9999
15376,Geoff,Soicher,Staff,8/14/1988,3/1/2001
15050,Nikolaos,Kruskal,Senior Engineer,12/17/1990,1/1/9999
15050,Nikolaos,Kruskal,Engineer,12/17/1990,1/1/9999
15058,Bouchung,Bugrara,Staff,6/18/1990,1/1/9999
15058,Bouchung,Bugrara,Senior Staff,6/18/1990,1/1/9999
15413,Arvin,Rabejac,Senior Engineer,1/1/1994,1/1/9999
15413,Arvin,Rabejac,Engineer,1/1/1994,1/1/9999
15376,Geoff,Soicher,Senior Staff,8/14/1988,3/1/2001
17013,Morris,Garigliano,Staff,5/24/1995,1/1/9999
16461,Remmert,Schahn,Staff,9/6/1986,1/1/9999
16461,Remmert,Schahn,Senior Staff,9/6/1986,1/1/9999
16528,Gaurav,Swick,Engineer,5/7/1996,1/1/9999
16528,Gaurav,Swick,Assistant Engineer,5/7/1996,1/1/9999
17013,Morris,Garigliano,Senior Staff,5/24/1995,1/1/9999
17369,Yaghout,Kenevan,Senior Engineer,9/15/2000,1/1/9999
17206,Berry,DeMori,Senior Engineer,12/27/1992,1/1/9999
17206,Berry,DeMori,Engineer,12/27/1992,1/1/9999
17369,Yaghout,Kenevan,Engineer,9/15/2000,1/1/9999
17369,Yaghout,Kenevan,Senior Engineer,1/28/1993,9/15/2000
17447,Zengping,Boreale,Staff,12/16/1998,1/1/9999
17369,Yaghout,Kenevan,Engineer,1/28/1993,9/15/2000
17618,Teiji,Picco,Staff,9/17/1992,11/8/1999
18187,Denis,Falster,Staff,12/21/1998,6/3/1999
17731,Gennady,Roison,Engineer,12/6/1989,1/1/9999
17731,Gennady,Roison,Assistant Engineer,12/6/1989,1/1/9999
17799,Gro,Gini,Engineer,9/28/1997,7/11/2001
17970,Filipp,Carrere,Technique Leader,1/9/1989,1/1/9999
17988,Mabhin,Calkin,Senior Engineer,11/30/1989,1/1/9999
17988,Mabhin,Calkin,Engineer,11/30/1989,1/1/9999
18021,Adil,Matzke,Senior Engineer,5/8/1987,1/1/9999
18021,Adil,Matzke,Engineer,5/8/1987,1/1/9999
18424,Filipp,Rousseau,Senior Engineer,6/7/1995,1/1/9999
18424,Filipp,Rousseau,Engineer,6/7/1995,1/1/9999
18810,Taiji,Jarecki,Senior Engineer,6/27/1991,1/1/9999
18583,Stafford,Honglei,Staff,8/16/1998,1/1/9999
18617,Surveyors,Crouzet,Staff,4/24/1989,1/1/9999
18617,Surveyors,Crouzet,Senior Staff,4/24/1989,1/1/9999
18810,Taiji,Jarecki,Engineer,6/27/1991,1/1/9999
19803,Ziva,Kowalchuk,Senior Engineer,6/13/1987,1/1/9999
19236,Elzbieta,Morris,Senior Engineer,7/12/1988,1/1/9999
19236,Elzbieta,Morris,Engineer,7/12/1988,1/1/9999
19350,Satoru,Yoshizawa,Staff,3/27/1994,1/1/9999
19350,Satoru,Yoshizawa,Senior Staff,3/27/1994,1/1/9999
19803,Ziva,Kowalchuk,Engineer,6/13/1987,1/1/9999
20248,Vidar,Demri,Staff,12/31/1999,1/1/9999
20100,Utz,Heuter,Staff,6/15/1986,1/1/9999
20100,Utz,Heuter,Senior Staff,6/15/1986,1/1/9999
20128,Kazunori,Peak,Senior Staff,8/13/1999,1/1/9999
20129,Rafael,Skafidas,Senior Engineer,3/28/1991,1/1/9999
20129,Rafael,Skafidas,Engineer,3/28/1991,1/1/9999
20313,Candida,Benveniste,Engineer,1/20/1999,1/1/9999
20885,Otmar,Rothenberg,Senior Engineer,3/14/1989,1/1/9999
20500,Christoph,Trystram,Staff,10/15/1993,1/1/9999
20500,Christoph,Trystram,Senior Staff,10/15/1993,1/1/9999
