emp_no,first_name,last_name,title,salary,from_date
10001,Georgi,Facello,Senior Engineer,60117,1986-06-26
10004,Chirstian,Koblick,Senior Engineer,40054,1995-12-01
10009,Sumant,Peac,Senior Engineer,60929,1995-02-18
10018,Kazuhide,Peha,Senior Engineer,55881,1995-04-03
10035,Alain,Chappelet,Senior Engineer,41538,1996-09-05
10053,Sanjiv,Zschoche,Senior Staff,67854,1994-11-13
10058,Berhard,McFarlin,Senior Staff,52787,1988-04-25
10066,Kwee,Schusler,Senior Engineer,69736,1998-02-25
10067,Claudi,Stavenow,Senior Engineer,44642,1996-03-03
10070,Reuven,Garigliano,Technique Leader,55999,1985-10-14
10072,Hironoby,Sidou,Senior Engineer,40000,1995-05-21
10076,Erez,Ritzmann,Senior Engineer,47319,1996-07-15
10088,Jungsoon,Syrzycki,Senior Staff,65957,1993-09-02
10100,Hironobu,Haraldson,Senior Staff,54398,1994-09-21
10103,Akemi,Birch,Engineer,68158,1998-01-12
10126,Kayoko,Valtorta,Senior Staff,40000,1991-09-08
10129,Armond,Peir,Technique Leader,40000,1996-01-16
10130,Nishit,Casperson,Senior Engineer,40000,1988-06-21
10134,Diederik,Siprelle,Senior Engineer,40000,1994-12-12
10138,Perry,Shimshoni,Senior Engineer,53574,2001-03-03
10150,Zhenbing,Perng,Senior Engineer,70122,1995-11-16
10153,Heekeun,Majewski,Assistant Engineer,54246,2000-01-08
10157,Nigel,Aloisi,Senior Engineer,48770,1997-12-10
10198,Pranav,Furedi,Senior Engineer,44076,1993-08-31
10215,Xiaobin,Duclos,Senior Staff,43944,1991-11-23
10224,Leon,Trogemann,Senior Engineer,40000,1996-01-09
10233,Lein,Vendrig,Senior Staff,40000,2000-04-28
10258,Basil,Ishibashi,Senior Engineer,66280,1997-05-16
10272,Yishai,Cannane,Staff,58070,1997-10-23
10282,Hercules,Benzmuller,Engineer,40000,2001-05-02
10283,Kauko,Birjandi,Senior Engineer,40000,1995-05-26
10326,Masali,Czap,Staff,40000,1998-09-02
10340,Djelloul,Laventhal,Senior Staff,68132,1993-03-30
10347,Pradeep,Kaminger,Staff,42199,1998-02-20
10355,Satyanarayana,Cochrane,Staff,70434,1996-01-26
10356,Vasilis,Standera,Senior Staff,45376,1995-06-26
10364,Nakhoon,Dengi,Senior Engineer,51401,1985-11-14
10372,Anneli,Frijda,Technique Leader,54505,1985-07-30
10387,Parto,Wrigley,Senior Staff,61374,1999-01-07
10396,Sibyl,Rahier,Senior Engineer,40393,1986-01-11
10402,Volkmar,Ebeling,Technique Leader,40000,1987-01-02
10404,Prodip,Rosti,Senior Engineer,51647,1996-08-28
10426,Arunas,Luce,Technique Leader,65757,1985-07-06
10429,Martien,Improta,Senior Engineer,40000,1988-09-23
10432,Hisao,Tiemann,Senior Staff,40000,1996-08-12
10451,Bodh,Ranta,Senior Engineer,46275,1998-03-12
10453,Tsvetan,Matzel,Senior Staff,40000,1993-04-02
10463,Ung,Zaiane,Staff,66480,1994-02-17
10486,Amstein,Kossowski,Senior Engineer,71692,1996-10-07
10494,Yakkov,Servieres,Senior Engineer,50094,2000-12-17
10504,Xiong,Varker,Staff,43931,1999-10-19
10512,Udi,Gihr,Senior Staff,40000,1998-11-28
10522,Marke,Cesareni,Senior Staff,40000,1995-12-12
10548,Ramalingam,Gunderson,Senior Staff,90631,1993-07-04
10564,Jianhao,Thisen,Senior Engineer,46660,2000-11-22
10623,Aleksander,Danlos,Senior Engineer,60268,1999-01-15
10628,Krisda,Krogh,Senior Engineer,41650,2001-03-14
10631,Inderjeet,Chaudhuri,Engineer,40000,1994-10-18
10642,Hirochika,Narlikar,Engineer,40000,1998-10-05
10653,Otmar,Feinberg,Senior Engineer,40000,1987-04-30
10671,Parviz,Rebaine,Senior Staff,74037,2001-09-13
10676,Valeri,Danley,Engineer,58226,1999-09-04
10693,Berhard,Daescu,Senior Staff,40000,1991-01-08
10702,Bader,Szemeredi,Senior Engineer,46581,1991-01-14
10718,Adib,Rullman,Senior Engineer,75473,1997-07-21
10726,Zita,Minakawa,Senior Engineer,46315,2001-02-24
10734,Sachar,Erdi,Engineer,47377,1995-12-19
10745,Poorav,Ranze,Senior Engineer,40000,1997-01-22
10749,King,Brendel,Senior Engineer,60829,1990-09-26
10767,Monique,Doering,Staff,40651,1997-07-15
10768,Ishfaq,Candan,Senior Engineer,65717,1990-07-04
10778,Selwyn,Merey,Senior Staff,64996,1986-07-04
10791,Tadahiko,Sgarro,Senior Engineer,40000,1995-07-31
10795,Supot,Naudin,Senior Staff,84206,1999-05-03
10808,Chenxi,Leijenhorst,Senior Engineer,40000,1987-03-07
10835,Tomoyuki,Kermarrec,Engineer,40000,1995-08-22
10836,Jianhua,Leivant,Senior Staff,65502,1987-08-10
10844,Dipayan,Koprowski,Engineer,40000,1997-04-25
10847,Theirry,Danley,Senior Staff,40000,1992-07-24
10848,Fen,Bratsberg,Senior Engineer,50475,1992-04-20
10878,Lakshmi,Deville,Staff,72102,1997-04-25
10879,Muzhong,Chleq,Senior Engineer,65651,1985-08-15
10883,Shimshon,Champarnaud,Engineer,40000,1996-12-28
10909,Georgi,Atchley,Senior Engineer,80935,2000-12-26
10921,Mara,Bahi,Senior Engineer,72601,1995-07-27
10924,Hironoby,Atchley,Senior Staff,84783,1997-08-14
10927,Gal,Scallan,Senior Staff,51819,1993-09-12
10936,Mountaz,Schicker,Senior Staff,40000,1996-05-08
10943,Berna,Skafidas,Senior Engineer,45890,1999-05-22
10965,Eckart,Braunschweig,Senior Staff,61654,1986-07-29
10969,Premal,Noriega,Senior Engineer,40000,1994-05-12
10974,Muneo,Papsdorf,Senior Engineer,56005,1999-05-17
10986,Masako,Schiper,Technique Leader,43900,1985-10-11
10988,Chinya,Deyuan,Senior Engineer,54174,1985-06-19
10989,Sumali,Candan,Senior Staff,46406,1991-07-20
10990,Shin,Foote,Technique Leader,40000,1990-08-06
11009,Alper,Axelband,Senior Staff,75111,1993-09-09
11012,Taegyun,Speckmann,Staff,72092,1996-07-06
11019,Leon,Huttel,Senior Engineer,69387,1997-05-24
11021,Srinidhi,Henders,Staff,62670,1998-02-02
11027,Remzi,Cappello,Senior Engineer,40000,1996-05-06
11031,Ottavia,Walstra,Senior Staff,71654,1993-10-24
11037,Lansing,Maliniak,Senior Engineer,40000,1995-01-28
11038,Jinya,Beidas,Senior Staff,44993,1992-07-15
11042,Gou,Breugel,Senior Engineer,40000,2000-06-21
11048,Jaques,Demke,Senior Staff,65697,1999-05-27
11050,Elvis,Katiyar,Senior Staff,52251,1991-05-06
11051,Przemyslawa,Erol,Senior Engineer,40000,2000-03-26
11070,Adib,Raney,Senior Engineer,40000,1991-07-24
11081,Barry,Boyle,Senior Staff,65686,1994-06-17
11085,Hailing,Thummel,Senior Engineer,66437,1996-02-10
11100,Berna,Cochrane,Senior Staff,40000,1993-10-13
11106,Aris,Iwayama,Senior Engineer,71446,1997-08-30
11112,Boaz,Mukaidono,Staff,40000,1995-04-28
11113,Shahab,Peng,Senior Staff,66401,1991-11-30
11121,Vugranam,Kakkad,Senior Engineer,40000,1999-11-01
11133,Nalini,Azulay,Technique Leader,40000,1994-03-06
11134,Sachar,Rajcani,Senior Engineer,58731,2002-05-19
11137,Hugh,Luca,Engineer,40000,1995-03-16
11139,Bogdan,Homond,Senior Staff,63596,1995-05-11
11146,Ishfaq,Masand,Senior Staff,96019,1997-08-21
11148,Zhanqiu,Botman,Senior Staff,56344,1997-02-08
11162,Kauko,Narlikar,Senior Engineer,69873,1990-03-28
11180,Mitsuyuki,Bojadziev,Senior Engineer,40000,1992-06-10
11197,Tadahiro,Fordan,Senior Staff,88741,1989-09-12
11204,Diederik,Covnot,Technique Leader,40000,1985-09-18
11207,Saeed,Gips,Engineer,49728,1999-01-31
11208,Saniya,Valtorta,Technique Leader,83660,1994-11-17
11211,Yurij,Rissland,Senior Engineer,72668,1985-09-17
11217,Kellie,Mawatari,Senior Engineer,40000,1990-03-11
11232,Hidefumi,Crelier,Senior Staff,43863,2000-08-01
11240,Kiam,Condotta,Engineer,61739,1997-01-06
11249,Randi,Cyre,Engineer,43324,1994-09-22
11251,Bezalel,Chinal,Senior Staff,69432,1993-06-15
11268,Aimee,Petersohn,Senior Engineer,40000,1995-10-25
11275,Hitomi,Eppinger,Senior Engineer,58382,1998-04-25
11290,Visit,Dredge,Engineer,65034,1999-05-13
11295,Abdelkader,Lanzelotte,Senior Staff,66622,1990-05-15
11319,Pranas,Marrakchi,Assistant Engineer,40000,1998-11-01
11320,Atilio,McAlpine,Senior Staff,45118,1998-04-06
11322,Nathalie,Pocchiola,Senior Engineer,43021,1999-07-08
11324,Kauko,Billingsley,Senior Engineer,54288,1985-08-29
11338,Kwangsub,Hanratty,Senior Staff,82210,1998-10-28
11339,Flemming,Massonet,Senior Engineer,40000,1989-12-19
11347,Anneli,Jonsson,Senior Engineer,41524,1992-04-19
11365,Toshimi,Shinomoto,Engineer,56463,1997-12-18
